px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.001	0.001	0	0	0	0	0	0	0	0	0	2.23732e-314
0.346452	-0.346218	0	0	0	0	0	0	0	0	0	2.06614
1.51298	-0.116179	0.328048	-3.16587e-17	-3.98986e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	2.29885
1.6262	0.0172087	1.2255	-0.101441	-0.0509345	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	18.6754
3.4116	0.409079	2.07965	0.118962	-0.516299	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	45.9225
3.51027	0.329724	2.18704	-0.196166	-0.735106	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	9.59036
6.49508	0.620851	3.02923	0.727547	-0.0270283	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	36.4138
6.4806	0.566863	3.04905	0.652685	-0.119497	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	0.409942
9.17336	0.678193	2.76136	-0.238171	-0.635688	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	4.33504
9.1213	0.721625	2.73252	-0.207703	-0.618161	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.24508
11.7549	1.41409	2.39059	0.13712	-0.0854801	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	23.9285
11.7186	1.40354	2.3897	0.120754	-0.100525	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	1.11342
13.7471	2.24145	2.16742	0.342124	0.0826201	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	5.6103
13.764	2.20052	2.22154	0.31322	0.0606569	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	2.0791
16.3822	2.85431	2.53441	0.253874	-0.0169125	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	9.52413
16.3847	2.85477	2.55936	0.252448	-0.0185326	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.575948
18.9366	3.67276	2.6565	0.312795	0.024238	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.94682
18.9864	3.69078	2.67262	0.318457	0.0296834	19.363	3.87122	18.923	3.74161	2.61382	0.95648	2.26651
21.3643	4.72464	2.64071	0.432719	0.0778402	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.272162
21.4166	4.72713	2.69219	0.419637	0.0650104	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	1.02447
24.0261	5.5823	2.73548	0.326383	-0.0259265	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.820504
24.1315	5.60866	2.83387	0.312498	-0.0384009	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	4.44109
26.6303	6.92389	2.82791	0.491987	0.0850082	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	1.12033
26.6375	6.91576	2.85525	0.478038	0.0695398	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.648855
29.4646	8.06295	2.99028	0.388539	-0.0262138	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	2.43706
29.4741	8.06902	3.00134	0.388054	-0.0272049	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.0797485
31.9651	9.83057	3.0109	0.643346	0.135068	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	1.90271
31.9305	9.81586	2.98661	0.643814	0.135728	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.724249
34.6337	10.8198	2.85992	0.384237	-0.0899405	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	5.25273
34.707	10.8374	2.91313	0.369223	-0.101291	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.1144
37.2063	12.0765	2.85623	0.426039	-0.0113771	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	1.05122
37.2645	12.0939	2.91204	0.420569	-0.0168247	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.4198
40.1756	13.4003	3.1079	0.413994	-0.0125119	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	3.57598
40.1402	13.3949	3.07447	0.41982	-0.00760935	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	0.521619
42.7909	14.8214	3.05343	0.501043	0.0437002	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.236122
42.7789	14.817	3.05761	0.498169	0.0395394	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.391429
45.343	16.5262	3.08974	0.61958	0.0867095	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.250573
45.3897	16.5359	3.12611	0.610022	0.0778286	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.854656
48.2167	17.4193	2.94806	0.311211	-0.137461	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	5.91123
48.1756	17.4038	2.90496	0.314709	-0.135762	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.759731
50.6627	18.9999	2.89642	0.556687	0.0843492	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	3.6928
50.648	18.9888	2.89317	0.551095	0.0786292	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.299625
53.613	19.9151	2.99573	0.275312	-0.12871	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	4.08134
53.5868	19.8974	2.95049	0.270738	-0.134275	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.657744
56.1273	21.0641	2.85467	0.385377	0.00494637	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	2.46771
56.082	21.0475	2.81024	0.384091	0.00429471	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.887619
58.6879	21.8162	2.77154	0.27866	-0.0582707	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.457101
58.6862	21.818	2.77834	0.28059	-0.0563753	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.0763538
61.0044	22.7931	2.6261	0.373274	0.0257848	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	2.67829
60.9742	22.7791	2.61441	0.370203	0.023376	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.804094
63.4071	23.4449	2.57258	0.269213	-0.0465365	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.545901
63.4576	23.4624	2.59702	0.2671	-0.049021	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	1.78318
66.2156	23.977	2.74381	0.148543	-0.0854554	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	2.13434
66.1495	23.9364	2.6569	0.124958	-0.10863	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.58807
68.4236	24.3543	2.46394	0.123641	-0.0547563	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	3.62701
68.471	24.3774	2.50189	0.134653	-0.0459999	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.0511
70.8506	24.866	2.4708	0.187006	0.00879762	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.289351
70.814	24.8492	2.426	0.176129	-0.00113373	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.691108
73.0122	24.782	2.28262	-0.0337754	-0.117357	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	3.15017
73.028	24.7871	2.28893	-0.0346418	-0.119299	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.208461
75.0946	25.1905	2.15966	0.131491	0.0328918	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	3.21737
75.0713	25.1805	2.13794	0.123743	0.02685	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.219909
77.1548	24.989	2.10785	-0.0878526	-0.101855	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.46434
